[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
cams-gkab/P338327	Mummu
cams-gkab/P338327	Ea
cams-gkab/P338327	Qingu
cams-gkab/P338327	Girra
cams-gkab/P338328	Tiamat
cams-gkab/P338328	Ea
cams-gkab/P338328	Qingu
cams-gkab/P338328	Anu
cams-gkab/P338328	Anšar
cams-gkab/P338328	Enlil
cams-gkab/P338328	Damkina
cams-gkab/P338328	Igigi
cams-gkab/P338328	Anunnaki
cams-gkab/P338328	Marduk
cams-gkab/P338333	Enlil
cams-gkab/P338333	Išum
cams-gkab/P338333	Erra
cams-gkab/P338333	Sebettu
cams-gkab/P338333	Mami
cams-gkab/P338333	Anu
cams-gkab/P338333	Sumuqan
cams-gkab/P338333	Igigi
cams-gkab/P338333	Anunnaki
cams-gkab/P338333	Adad
cams-gkab/P338333	Marduk
cams-gkab/P338333	Ninildum
cams-gkab/P338333	Šamaš
cams-gkab/P338333	Kusibanda
cams-gkab/P338333	Ninagal
cams-gkab/P338333	Ea
cams-gkab/P338334	Anunnaki
cams-gkab/P338334	Ea
cams-gkab/P338334	Erra
cams-gkab/P338336	Anzu
cams-gkab/P338336	Duranki
cams-gkab/P338336	Ea
cams-gkab/P338336	Mami
cams-gkab/P338336	Anu
cams-gkab/P338336	Dagan
cams-gkab/P338336	Niššiku
cams-gkab/P338336	Ninurta
cams-gkab/P338338	Anzu
cams-gkab/P338338	Šamaš
cams-gkab/P338338	Enlil
cams-gkab/P338338	Ninurta
cams-gkab/P338338	Duranki
cams-gkab/P338338	Ea
cams-gkab/P338338	Mami
cams-gkab/P338338	Anu
cams-gkab/P338338	Dagan
cams-gkab/P338338	Niššiku
cams-gkab/P338338	Šarur
cams-gkab/P338339	Anzu
cams-gkab/P338339	Ninurta
cams-gkab/P338340	Ninurta
cams-gkab/P338340	Anzu
cams-gkab/P338340	Duranki
cams-gkab/P338340	Anu
cams-gkab/P338340	Enlil
cams-gkab/P338340	Ninlil
cams-gkab/P338340	Nusku
cams-gkab/P338340	Dagan
cams-gkab/P338342	Ninurta
cams-gkab/P338342	Anzu
cams-gkab/P338342	Duranki
cams-gkab/P338342	Anu
cams-gkab/P338342	Ninlil
cams-gkab/P338342	Enlil
cams-gkab/P338342	Dagan
cams-gkab/P338344	Marduk
cams-gkab/P338344	Zarpanitu
cams-gkab/P338345	Kakka
cams-gkab/P338345	Anu
cams-gkab/P338345	Ereškigal
cams-gkab/P338345	Enlil
cams-gkab/P338345	Ea
cams-gkab/P338345	Namma
cams-gkab/P338345	Nanše
cams-gkab/P338345	Ninurta
cams-gkab/P338345	Namtar
cams-gkab/P338345	Nergal
cams-gkab/P338345	Ninŋešzidak
cams-gkab/P338345	Erra
cams-gkab/P338345	Anunnaki
cams-gkab/P338345	Ištar
cams-gkab/P338345	Enmešara
cams-gkab/P338350	Ziqiqu
cams-gkab/P338350	Ištar
cams-gkab/P338350	Nudimmud
